name;description;long;lat;idquartier;largeur;longueur;adresse
kml_689;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>453</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Corentin Carré (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>deva";-1.67433028889899;48.0988333600146;;2;3.6;devant le N° 13  -  Corentin Carré (rue)
kml_69;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>95</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Aristide Briand (avenue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>p";-1.6702311223214;48.1101516244646;;2;5.3;pk ext.Ouest face n° 9 Arist. Briand  -  Aristide Briand (avenue)
kml_690;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>374</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Général Margueritte (rue du)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> ";-1.67942820887095;48.1008446887053;;1.9;5;au droit du n° 15  -  Général Margueritte (rue du)
kml_691;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>126</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Ginguené (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>Au droit d";-1.6701319922424;48.1000131879179;;1.9;5;Au droit du n° 133  -  Ginguené (rue)
kml_692;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>397</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Ginguené (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>face au n°";-1.68494208822398;48.0990670667283;;1.9;6;face au n° 16 bis  -  Ginguené (rue)
kml_693;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>460</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Marçais Martin (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au N";-1.67859949957178;48.1006298872873;;1.9;5;au N° 20  -  Marçais Martin (rue)
kml_694;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>127</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Marçais Martin (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au d";-1.67869251409794;48.1010481815723;;2;6;au droit du n° 9  -  Marçais Martin (rue)
kml_695;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>353</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Ormeaux (rue des)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au n° 1";-1.66955351456492;48.1005119777277;;1.9;5.5;au n° 12  -  Ormeaux (rue des)
kml_696;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>354</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Ormeaux (rue des)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au n° 2";-1.66932289575224;48.1001313879247;;2.5;4.8;au n° 21  -  Ormeaux (rue des)
kml_697;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>647</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Rabelais (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>Face au n°";-1.67702938894368;48.0966034917534;;2.2;5.5;Face au n°25  27  -  Rabelais (rue)
